,Cluster,Name,Category,Latitude,Longitude
214,4,Gracemount Leisure Centre,Gym / Fitness Center,55.90298818539828,-3.154804227597655
215,4,Morrisons,Supermarket,55.90943834289543,-3.141895142245989
216,4,Klondyke Garden Centre,Furniture / Home Store,55.90028952476447,-3.1770428365973555
217,4,Domino's Pizza,Pizza Place,55.90560796709507,-3.132467260077874
218,4,IKEA Restaurant & Café,Scandinavian Restaurant,55.88057092325932,-3.168154740299049
219,4,poddingtons,Café,55.88605,-3.16094
220,4,Supperbowl,Fast Food Restaurant,55.90564929238295,-3.132653801786189
221,4,American Golf,Sporting Goods Shop,55.91329,-3.177809
222,4,Pentland Plants,Flower Shop,55.8745952524963,-3.1787760422854907
223,5,Linlithgow Palace,Historic Site,55.97801660066997,-3.6008526097404183
224,5,So Strawberry caffé,Café,55.977159,-3.600815
225,5,The Old Post Office,Pub,55.9766091090004,-3.597851940561013
226,5,The Four Marys,Pub,55.97690818263444,-3.5997702496965434
227,5,Champany Inn,Steakhouse,55.993243447121664,-3.560035932129636
228,5,West Port Restaurant,Gastropub,55.975948,-3.611813
229,5,Taste,Breakfast Spot,55.976667883611334,-3.5987416693966723
230,5,B&M Store,Furniture / Home Store,55.97502643500884,-3.6226466773463937
231,5,Platform 3,Pub,55.97677620509068,-3.596657791111163
232,5,Linlithgow Railway Station (LIN),Train Station,55.97638101709206,-3.595532240690959
233,5,Subway,Sandwich Place,55.976352750722306,-3.602392449688523
234,5,Domino's Pizza - Linlithgow,Pizza Place,55.97492650034282,-3.620113440745513
235,5,Tesco,Supermarket,55.9773147,-3.5953134
236,5,Delhi's Winter,Indian Restaurant,55.97719276514679,-3.5951772697228463
237,5,Sainsbury's,Supermarket,55.976426003148596,-3.624427492642406
238,5,Aldi,Supermarket,55.97507620067816,-3.6208551367226343
239,5,Greggs,Bakery,55.977364152932914,-3.5950183868408203
240,5,Argos,Warehouse Store,55.97544111518396,-3.62268132178924
241,5,Stockbridge Retail Park,Shopping Plaza,55.97555865796252,-3.622198974277144
242,5,Xcite Linlithgow Leisure Centre,Gym / Fitness Center,55.96941077118656,-3.625696811178446
243,5,Xcite Linlithgow,Gym / Fitness Center,55.96937858389074,-3.6255979352675154
244,6,Arnold Clark,Rental Car Location,55.9385540947402,-3.3602906809677116
245,6,Brewdog Edinburgh Airport,Beer Bar,55.94895248474225,-3.3615829121723078
246,6,RBS Fitness & Wellbeing Centre,Gym,55.934066677085845,-3.339424375706068
247,6,Xtreme Karting,Go Kart Track,55.9371586450515,-3.405918951720935
248,6,Bridge Inn,Pub,55.922033351422805,-3.3827040686129997
249,6,Check In Hall,Airport Service,55.948173537457805,-3.363910482379368
250,6,Royal Highland Centre,Event Space,55.94093988050916,-3.3740379504973554
