,Unnamed: 0,Postal Code,Borough,Neighborhood,Latitude,Longitude,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
21,21,M6E,York,Caledonia-Fairbanks,43.68911756600005,-79.450650437,1.0,Park,Women's Store,Gym,Mexican Restaurant,Beer Store,Bakery,Sporting Goods Shop,Gym / Fitness Center,Gym Pool,Financial or Legal Service
22,22,M1G,Scarborough,Woburn,43.77154467100007,-79.21813521299998,1.0,Coffee Shop,Korean Restaurant,Farm,Eastern European Restaurant,Electronics Store,Elementary School,Ethiopian Restaurant,Falafel Restaurant,Women's Store,Dog Run
23,23,M4G,East York,Leaside,43.70941386000004,-79.36309957799996,1.0,Coffee Shop,Sporting Goods Shop,Furniture / Home Store,Sports Bar,Bank,Burger Joint,Beer Store,Sushi Restaurant,Fish & Chips Shop,Shopping Mall
24,24,M5G,Downtown Toronto,Central Bay Street,43.65607218800005,-79.38565318999997,1.0,Coffee Shop,Restaurant,Japanese Restaurant,Middle Eastern Restaurant,Clothing Store,Plaza,Sandwich Place,Bubble Tea Shop,Breakfast Spot,Italian Restaurant
25,25,M6G,Downtown Toronto,Christie,43.66860211600005,-79.42038731299994,1.0,Café,Grocery Store,Athletics & Sports,Park,Baby Store,Coffee Shop,Candy Store,Playground,Farmers Market,Farm
26,26,M1H,Scarborough,Cedarbrae,43.76879106300004,-79.23881306799996,6.0,Trail,Gaming Cafe,Women's Store,Eastern European Restaurant,Electronics Store,Elementary School,Ethiopian Restaurant,Falafel Restaurant,Farm,Dog Run
27,27,M2H,North York,Hillcrest Village,43.80255614900005,-79.35656576499997,2.0,Dog Run,Park,Residential Building (Apartment / Condo),Donut Shop,Eastern European Restaurant,Electronics Store,Elementary School,Ethiopian Restaurant,Women's Store,Distribution Center
28,28,M3H,North York,"Bathurst Manor, Wilson Heights, Downsview North",43.75739449200007,-79.44239439999996,1.0,Coffee Shop,Bank,Pizza Place,Gas Station,Pharmacy,Park,Deli / Bodega,Restaurant,Diner,Sandwich Place
29,29,M4H,East York,Thorncliffe Park,43.70207200300007,-79.35161423599999,1.0,Indian Restaurant,Yoga Studio,Housing Development,Supermarket,Sandwich Place,Gas Station,Intersection,Coffee Shop,Bridge,Park
30,30,M5H,Downtown Toronto,"Richmond, Adelaide, King",43.650541645000025,-79.38411611599996,1.0,Coffee Shop,Café,Clothing Store,Restaurant,Hotel,Deli / Bodega,Sushi Restaurant,Thai Restaurant,Salad Place,Gym
31,31,M6H,West Toronto,"Dufferin, Dovercourt Village",43.66491031700007,-79.43866366999998,1.0,Grocery Store,Park,Furniture / Home Store,Pharmacy,Smoke Shop,Bus Line,Café,Bank,Bakery,Pet Store
32,32,M1J,Scarborough,Scarborough Village,43.74420268600005,-79.22872456899995,0.0,Fast Food Restaurant,Big Box Store,Sandwich Place,Indian Restaurant,Women's Store,Falafel Restaurant,Eastern European Restaurant,Electronics Store,Elementary School,Ethiopian Restaurant
33,33,M2J,North York,"Fairview, Henry Farm, Oriole",43.780306000000046,-79.34868699999998,1.0,Clothing Store,Women's Store,Coffee Shop,Fast Food Restaurant,Shoe Store,Bank,Restaurant,Toy / Game Store,Tea Room,Juice Bar
34,34,M3J,North York,"Northwood Park, York University",43.76487186000003,-79.49249695199995,1.0,Furniture / Home Store,Market,Japanese Restaurant,Metro Station,Fast Food Restaurant,Falafel Restaurant,Sushi Restaurant,Caribbean Restaurant,Bar,Bank
35,35,M4J,East York,"East Toronto, Broadview North (Old East York)",43.68704577000005,-79.33388995799999,5.0,Bus Stop,Women's Store,Food,Fish Market,Fish & Chips Shop,Financial or Legal Service,Field,Fast Food Restaurant,Farmers Market,Farm
